age,job,marital,education,default,balance,housing,loan,contact,day_of_week,month,duration,campaign,pdays,previous,y,saving,debt
60,blue-collar,divorced,primary,no,3427,no,no,cellular,7,jul,169,1,-1,0,no,3427.0,
28,housemaid,single,primary,no,332,no,no,cellular,7,jul,385,1,-1,0,no,332.0,
46,technician,married,secondary,no,967,no,no,cellular,7,jul,248,3,-1,0,no,967.0,
56,management,married,primary,no,21,no,no,cellular,7,jul,118,1,-1,0,no,21.0,
32,self-employed,single,tertiary,no,2559,no,no,cellular,7,jul,889,1,-1,0,yes,2559.0,
32,admin.,married,secondary,no,1604,no,yes,cellular,7,jul,625,1,-1,0,yes,1604.0,
34,blue-collar,single,primary,yes,-2,no,yes,cellular,7,jul,199,1,-1,0,no,,-2.0
30,management,single,tertiary,no,0,no,no,cellular,7,jul,240,1,-1,0,no,0.0,
51,blue-collar,married,secondary,no,505,yes,no,telephone,7,jul,199,4,-1,0,no,505.0,
29,services,married,tertiary,no,0,no,yes,cellular,7,jul,158,1,-1,0,no,0.0,
35,services,single,secondary,no,2110,no,yes,cellular,7,jul,39,1,-1,0,no,2110.0,
29,blue-collar,married,primary,no,0,yes,no,telephone,7,jul,256,15,-1,0,no,0.0,
31,blue-collar,single,secondary,no,1,no,yes,cellular,7,jul,174,1,-1,0,no,1.0,
29,blue-collar,married,primary,no,57,no,yes,cellular,7,jul,461,1,-1,0,no,57.0,
44,housemaid,married,primary,no,398,no,no,cellular,7,jul,187,3,-1,0,no,398.0,
32,services,single,secondary,no,-1139,yes,no,cellular,7,jul,201,1,-1,0,no,,-1139.0
36,blue-collar,married,secondary,no,537,no,yes,cellular,7,jul,206,6,-1,0,no,537.0,
40,technician,married,secondary,no,351,no,yes,cellular,7,jul,139,1,-1,0,no,351.0,
37,management,single,tertiary,no,0,no,no,cellular,7,jul,643,3,-1,0,no,0.0,
45,management,single,secondary,no,-57,no,yes,cellular,7,jul,262,1,-1,0,no,,-57.0
39,admin.,married,secondary,no,2319,no,no,cellular,7,jul,84,1,-1,0,no,2319.0,
25,technician,single,tertiary,no,437,no,yes,cellular,7,jul,121,1,-1,0,no,437.0,
41,technician,single,secondary,no,879,no,yes,cellular,7,jul,60,4,-1,0,no,879.0,
34,technician,single,secondary,no,232,no,no,cellular,7,jul,130,1,-1,0,no,232.0,
37,admin.,single,secondary,no,-117,no,yes,cellular,7,jul,106,1,-1,0,no,,-117.0
51,retired,married,secondary,no,3003,yes,no,cellular,7,jul,149,3,-1,0,no,3003.0,
35,admin.,single,secondary,no,0,no,yes,cellular,7,jul,480,1,-1,0,no,0.0,
49,blue-collar,married,primary,no,-167,no,no,cellular,7,jul,51,1,-1,0,no,,-167.0
28,technician,single,secondary,no,909,no,yes,cellular,7,jul,532,1,-1,0,yes,909.0,
26,blue-collar,single,secondary,no,428,no,yes,cellular,7,jul,575,1,-1,0,no,428.0,
27,management,married,tertiary,no,54,yes,yes,cellular,7,jul,72,1,-1,0,no,54.0,
45,admin.,divorced,secondary,no,-176,no,yes,cellular,7,jul,574,1,-1,0,yes,,-176.0
34,admin.,divorced,secondary,no,564,no,yes,cellular,7,jul,445,1,-1,0,no,564.0,
27,services,married,secondary,no,221,no,yes,cellular,7,jul,554,1,-1,0,no,221.0,
35,services,divorced,secondary,no,35,yes,no,cellular,7,jul,129,4,-1,0,no,35.0,
48,admin.,married,secondary,no,8,no,yes,cellular,7,jul,46,1,-1,0,no,8.0,
33,services,single,secondary,no,149,no,yes,cellular,7,jul,254,1,-1,0,no,149.0,
31,technician,single,secondary,no,475,no,no,cellular,7,jul,226,1,-1,0,no,475.0,
56,housemaid,divorced,secondary,no,977,no,no,cellular,7,jul,1200,1,-1,0,no,977.0,
29,blue-collar,single,primary,no,161,no,yes,cellular,7,jul,295,1,-1,0,no,161.0,
40,management,divorced,tertiary,no,492,no,yes,cellular,7,jul,125,2,-1,0,no,492.0,
35,admin.,married,secondary,no,0,no,no,cellular,7,jul,78,11,-1,0,no,0.0,
30,admin.,married,primary,no,40,yes,yes,cellular,7,jul,174,1,-1,0,no,40.0,
59,blue-collar,married,secondary,no,13718,no,no,telephone,7,jul,107,6,-1,0,no,13718.0,
34,blue-collar,married,secondary,no,205,yes,yes,cellular,7,jul,309,1,-1,0,no,205.0,
26,blue-collar,single,secondary,no,123,no,yes,cellular,7,jul,209,1,-1,0,no,123.0,
41,management,married,secondary,no,0,no,yes,cellular,7,jul,630,3,-1,0,no,0.0,
58,blue-collar,married,secondary,no,2146,no,no,cellular,7,jul,206,3,-1,0,no,2146.0,
35,blue-collar,married,primary,no,63,no,yes,cellular,7,jul,243,2,-1,0,no,63.0,
27,technician,married,secondary,no,-428,no,no,cellular,7,jul,451,1,-1,0,no,,-428.0
40,management,married,tertiary,no,0,no,no,cellular,7,jul,111,1,-1,0,no,0.0,
52,technician,divorced,tertiary,yes,-1014,no,yes,cellular,7,jul,154,1,-1,0,no,,-1014.0
38,technician,married,secondary,no,-228,yes,no,cellular,7,jul,162,4,-1,0,no,,-228.0
30,blue-collar,single,secondary,no,-42,no,no,cellular,7,jul,86,2,-1,0,no,,-42.0
25,blue-collar,single,secondary,no,218,no,yes,cellular,7,jul,448,1,-1,0,no,218.0,
57,blue-collar,married,primary,no,282,no,yes,cellular,7,jul,261,12,-1,0,no,282.0,
29,services,married,secondary,no,123,no,yes,cellular,7,jul,151,1,-1,0,no,123.0,
48,blue-collar,married,primary,no,14,no,yes,cellular,7,jul,120,1,-1,0,no,14.0,
29,blue-collar,married,secondary,no,247,no,yes,cellular,7,jul,199,1,-1,0,no,247.0,
38,housemaid,divorced,secondary,no,216,no,no,cellular,7,jul,97,3,-1,0,no,216.0,
29,technician,married,secondary,no,-28,no,no,cellular,7,jul,531,1,-1,0,no,,-28.0
40,blue-collar,married,secondary,no,326,yes,yes,cellular,7,jul,112,1,-1,0,no,326.0,
31,admin.,single,secondary,no,119,no,no,cellular,7,jul,80,1,-1,0,no,119.0,
34,blue-collar,married,primary,no,69,no,no,telephone,7,jul,41,1,-1,0,no,69.0,
29,blue-collar,married,primary,no,707,no,no,cellular,7,jul,210,1,-1,0,no,707.0,
44,housemaid,married,primary,no,-227,no,yes,cellular,7,jul,153,1,-1,0,no,,-227.0
41,blue-collar,single,secondary,yes,1085,yes,yes,cellular,7,jul,599,1,-1,0,yes,1085.0,
34,blue-collar,divorced,secondary,no,368,no,yes,cellular,7,jul,2201,1,-1,0,no,368.0,
35,entrepreneur,married,primary,yes,25,no,yes,cellular,7,jul,236,1,-1,0,no,25.0,
43,management,divorced,tertiary,no,-132,yes,yes,cellular,7,jul,532,2,-1,0,no,,-132.0
59,blue-collar,divorced,primary,no,1265,no,yes,cellular,7,jul,849,1,-1,0,yes,1265.0,
46,management,married,secondary,no,700,no,yes,cellular,7,jul,136,1,-1,0,no,700.0,
55,blue-collar,single,secondary,no,82,no,yes,cellular,7,jul,500,1,-1,0,no,82.0,
41,housemaid,married,primary,no,1529,no,no,cellular,7,jul,61,6,-1,0,no,1529.0,
59,management,single,tertiary,no,623,yes,no,cellular,7,jul,212,4,-1,0,no,623.0,
39,technician,married,secondary,no,-241,yes,yes,cellular,7,jul,337,4,-1,0,no,,-241.0
26,technician,divorced,tertiary,no,278,yes,yes,cellular,7,jul,1467,1,-1,0,no,278.0,
33,blue-collar,married,secondary,no,1834,yes,no,cellular,7,jul,117,3,-1,0,no,1834.0,
32,technician,single,secondary,no,-398,no,yes,cellular,7,jul,387,2,-1,0,no,,-398.0
41,technician,divorced,secondary,no,0,no,no,cellular,7,jul,353,4,-1,0,no,0.0,
29,services,married,secondary,no,-597,no,no,cellular,7,jul,500,2,-1,0,no,,-597.0
31,blue-collar,single,secondary,no,16,no,no,cellular,7,jul,387,1,-1,0,no,16.0,
37,admin.,married,secondary,no,10,no,yes,cellular,7,jul,162,2,-1,0,no,10.0,
50,admin.,single,secondary,no,-79,no,yes,cellular,7,jul,70,1,-1,0,no,,-79.0
27,management,single,tertiary,no,338,no,yes,cellular,7,jul,535,1,-1,0,no,338.0,
47,management,married,tertiary,no,-50,no,yes,cellular,7,jul,175,1,-1,0,no,,-50.0
47,technician,single,secondary,no,-239,yes,yes,cellular,7,jul,973,3,-1,0,yes,,-239.0
47,housemaid,married,tertiary,no,333,no,no,telephone,7,jul,141,1,-1,0,no,333.0,
51,services,married,secondary,no,867,yes,no,cellular,7,jul,422,3,-1,0,no,867.0,
57,retired,married,secondary,no,-37,no,yes,cellular,7,jul,354,1,-1,0,no,,-37.0
44,technician,divorced,secondary,no,0,yes,no,cellular,7,jul,835,4,-1,0,no,0.0,
51,management,married,tertiary,no,1392,no,no,cellular,7,jul,511,3,-1,0,no,1392.0,
28,blue-collar,married,primary,no,-196,no,no,cellular,7,jul,209,1,-1,0,no,,-196.0
41,admin.,single,secondary,no,0,yes,yes,cellular,7,jul,166,1,-1,0,no,0.0,
30,management,single,secondary,no,269,no,yes,cellular,7,jul,1165,2,-1,0,no,269.0,
25,blue-collar,single,secondary,no,913,yes,no,cellular,7,jul,113,4,-1,0,no,913.0,
32,admin.,single,secondary,no,-267,no,yes,cellular,7,jul,98,1,-1,0,no,,-267.0
40,services,married,secondary,no,193,yes,yes,cellular,7,jul,190,1,-1,0,no,193.0,
31,services,single,secondary,no,78,yes,yes,cellular,7,jul,104,1,-1,0,no,78.0,
30,unemployed,married,secondary,no,85,yes,yes,cellular,7,jul,88,1,-1,0,no,85.0,
25,services,single,secondary,no,111,no,yes,cellular,7,jul,316,1,-1,0,no,111.0,
45,blue-collar,married,secondary,no,226,no,no,telephone,7,jul,211,2,-1,0,no,226.0,
49,blue-collar,married,primary,yes,-354,no,yes,cellular,7,jul,455,1,-1,0,no,,-354.0
32,admin.,single,secondary,no,212,no,no,cellular,7,jul,830,5,-1,0,yes,212.0,
52,blue-collar,married,primary,no,9444,no,no,cellular,7,jul,271,3,-1,0,no,9444.0,
35,management,single,tertiary,no,14,no,no,cellular,7,jul,167,2,-1,0,no,14.0,
60,retired,divorced,tertiary,no,468,no,no,cellular,7,jul,108,2,-1,0,no,468.0,
33,blue-collar,single,primary,yes,-15,no,yes,cellular,7,jul,326,2,-1,0,no,,-15.0
43,management,married,tertiary,no,1530,no,no,cellular,7,jul,91,3,-1,0,no,1530.0,
42,admin.,married,secondary,no,1133,yes,no,cellular,7,jul,375,3,-1,0,no,1133.0,
33,services,single,secondary,no,329,yes,yes,cellular,7,jul,227,4,-1,0,no,329.0,
42,technician,married,secondary,no,473,yes,no,cellular,7,jul,216,5,-1,0,no,473.0,
26,blue-collar,single,secondary,yes,-8019,no,yes,cellular,7,jul,299,3,-1,0,no,,-8019.0
25,technician,single,tertiary,no,226,no,no,cellular,7,jul,366,2,-1,0,no,226.0,
26,admin.,married,secondary,no,383,yes,yes,cellular,7,jul,238,2,-1,0,no,383.0,
39,admin.,divorced,secondary,no,1,no,yes,cellular,7,jul,281,1,-1,0,no,1.0,
39,services,married,secondary,no,27,no,yes,cellular,7,jul,290,1,-1,0,no,27.0,
31,technician,single,secondary,no,49,yes,no,cellular,7,jul,234,1,-1,0,no,49.0,
52,unemployed,married,tertiary,no,1023,no,no,cellular,7,jul,107,6,-1,0,no,1023.0,
28,admin.,single,secondary,no,1507,no,no,cellular,7,jul,92,1,-1,0,no,1507.0,
46,blue-collar,married,primary,no,3969,no,no,telephone,7,jul,46,5,-1,0,no,3969.0,
28,services,single,secondary,no,198,no,no,cellular,7,jul,159,1,-1,0,no,198.0,
54,housemaid,married,secondary,no,0,no,yes,cellular,7,jul,97,1,-1,0,no,0.0,
45,blue-collar,married,primary,no,55,no,no,cellular,7,jul,112,3,-1,0,no,55.0,
58,entrepreneur,married,primary,no,124,yes,no,cellular,7,jul,293,7,-1,0,no,124.0,
42,blue-collar,single,secondary,no,419,no,no,cellular,7,jul,88,3,-1,0,no,419.0,
34,blue-collar,single,secondary,no,-72,yes,no,cellular,7,jul,273,5,-1,0,no,,-72.0
50,technician,married,secondary,no,0,no,no,cellular,7,jul,152,2,-1,0,no,0.0,
59,blue-collar,married,primary,no,3372,no,no,cellular,7,jul,87,1,-1,0,no,3372.0,
56,blue-collar,married,secondary,no,58932,no,no,telephone,7,jul,339,2,-1,0,no,58932.0,
58,technician,divorced,secondary,no,-354,yes,yes,cellular,7,jul,98,1,-1,0,no,,-354.0
31,management,married,tertiary,no,-513,no,yes,cellular,7,jul,124,1,-1,0,no,,-513.0
58,blue-collar,divorced,secondary,no,916,no,no,cellular,7,jul,244,4,-1,0,no,916.0,
25,services,single,secondary,no,402,no,yes,cellular,7,jul,264,1,-1,0,no,402.0,
32,blue-collar,single,secondary,no,22,no,no,cellular,7,jul,280,1,-1,0,no,22.0,
38,blue-collar,married,primary,no,433,no,no,cellular,7,jul,116,3,-1,0,no,433.0,
33,management,single,secondary,no,1326,no,yes,cellular,7,jul,164,2,-1,0,no,1326.0,
37,admin.,married,secondary,no,147,yes,no,cellular,7,jul,25,30,-1,0,no,147.0,
38,management,married,tertiary,no,76,yes,no,cellular,7,jul,196,3,-1,0,no,76.0,
31,management,single,tertiary,no,1598,yes,no,cellular,7,jul,36,33,-1,0,no,1598.0,
52,blue-collar,divorced,secondary,no,497,no,yes,cellular,7,jul,277,2,-1,0,no,497.0,
27,admin.,single,secondary,no,145,no,yes,cellular,7,jul,95,3,-1,0,no,145.0,
25,blue-collar,married,primary,no,0,no,no,cellular,7,jul,116,1,-1,0,no,0.0,
31,admin.,single,tertiary,no,383,no,yes,cellular,7,jul,305,1,-1,0,no,383.0,
35,management,married,tertiary,no,1361,no,yes,cellular,7,jul,15,11,-1,0,no,1361.0,
28,unemployed,single,secondary,yes,-1270,no,yes,telephone,7,jul,237,2,-1,0,no,,-1270.0
29,blue-collar,married,secondary,no,-305,yes,yes,cellular,7,jul,263,1,-1,0,no,,-305.0
33,technician,married,secondary,no,2284,yes,yes,cellular,7,jul,210,2,-1,0,no,2284.0,
39,services,married,secondary,no,0,no,no,cellular,7,jul,333,5,-1,0,no,0.0,
47,blue-collar,married,secondary,yes,-594,yes,yes,cellular,7,jul,100,4,-1,0,no,,-594.0
50,technician,married,secondary,no,1717,no,no,telephone,7,jul,416,8,-1,0,no,1717.0,
50,self-employed,divorced,tertiary,no,387,no,no,cellular,7,jul,221,8,-1,0,no,387.0,
49,management,married,tertiary,no,96,no,no,cellular,7,jul,51,2,-1,0,no,96.0,
44,entrepreneur,married,primary,no,5038,no,no,cellular,7,jul,199,7,-1,0,no,5038.0,
28,technician,single,secondary,no,1581,no,yes,cellular,7,jul,576,2,-1,0,no,1581.0,
31,services,single,secondary,no,8,no,no,cellular,7,jul,340,3,-1,0,no,8.0,
47,housemaid,married,secondary,no,1152,no,no,telephone,7,jul,260,13,-1,0,no,1152.0,
30,technician,married,tertiary,no,101,yes,yes,cellular,7,jul,187,3,-1,0,no,101.0,
29,blue-collar,single,secondary,no,218,no,no,cellular,7,jul,255,2,-1,0,no,218.0,
51,blue-collar,married,primary,no,720,no,no,cellular,7,jul,160,5,-1,0,no,720.0,
44,admin.,divorced,tertiary,no,0,yes,no,cellular,7,jul,96,3,-1,0,no,0.0,
43,management,married,secondary,no,-213,no,yes,telephone,7,jul,543,2,-1,0,no,,-213.0
44,services,married,secondary,no,300,yes,no,cellular,7,jul,182,3,-1,0,no,300.0,
41,admin.,married,secondary,no,-396,yes,no,cellular,7,jul,104,4,-1,0,no,,-396.0
59,blue-collar,divorced,primary,no,55,no,no,cellular,7,jul,13,20,-1,0,no,55.0,
49,self-employed,single,secondary,no,766,yes,no,cellular,7,jul,150,4,-1,0,no,766.0,
31,technician,single,secondary,no,9,no,no,cellular,7,jul,167,2,-1,0,no,9.0,
50,entrepreneur,divorced,tertiary,no,223,no,no,cellular,7,jul,264,5,-1,0,no,223.0,
33,entrepreneur,married,secondary,no,0,no,yes,cellular,7,jul,224,4,-1,0,no,0.0,
58,blue-collar,married,primary,no,853,no,no,cellular,7,jul,317,3,-1,0,no,853.0,
